-9.44,51.2,-4.44089e-16,-6.98653,0,
-644.944,-645.6,-644.8,-649.468,0,
-217.211,-217.6,-217.6,-217.353,0,
-17.6,164.8,20.8,0,0,
6.8761,-3.2,-4.8,-24.927,0,
-204.251,-205.6,-208,-210.335,0,
-112.969,-113.6,-110.4,-117.731,0,
-16.16,129.6,-1.6,-2.20406,0,
-9.64,-8,-9.6,-15.5747,0,
-5.52,-1.6,38.4,-16.804,0,
65.1787,-5.6,-9.6,-0.76,0,
-13.3721,-18.4,-19.2,-16.0954,0,
1.482,27.2,-3.2,0,0,
-702.541,-704,-700.8,-716.664,0,
-108.2,-108,-105.6,-96.4172,0,
58.097,-5.6,-3.2,-4.58527,0,
-63.0107,-64,-62.4,-66.6641,0,
-156.88,2141.6,44.8,-8.81321,0,
-472.84,-472.8,-473.6,-477.83,0,
-6.4929,-6.4,28.8,-5.38044,0,
6.08,40.8,11.2,0,0,
-20.5203,110.4,-24,-20.5646,0,
-3.2,-0.8,48,-5.11601,0,
-5.1842,-5.6,-3.2,-12.201,0,
-92.8793,-92.8,-94.4,-112.096,0,
-3.8,-4,-3.2,-8.71202,0,
35.8603,-2.4,1.6,-17.0201,0,
-12.8,404,14.4,0,0,
-34.529,-37.6,-36.8,-43.2166,0,
-47.8298,-48,-49.6,-49.8509,0,
-22.7521,289.6,-3.2,-8.05321,0,
-117.614,-121.6,-121.6,-125.089,0,
-54.4,1392.8,52.8,-0.191263,0,
-126.998,-127.2,-126.4,-130.405,0,
-625.603,-620.8,-625.6,-629.389,0,
-29.6,632,19.2,0,0,
-24.12,70.4,-20.8,-17.0201,0,
-0.379883,0.8,6.4,47.5531,0,
-4.56,-1.6,-6.4,-5.78112,0,
-3.8459,-3.2,11.2,-6.67667,0,
-14.32,52,-16,-14.6093,0,
-8.36,11.2,1.6,-12.9034,0,
-10.44,10.4,468.8,-2.8195,0,
2.28,53.6,1.6,0,0,
-113.6,-112,-100.8,-113.482,0,
-13.722,90.4,-6.4,-10.9208,0,
-91.2,-52.8,-8,-54.1584,0,
-105.48,-105.6,-105.6,-110.21,0,
-178.981,-177.6,-177.6,-186.029,0,
